                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.46086,                0.36664,                 0.8682,                0.72454,                0.77784,                0.74316,                0.42461,                 1.3111,                 1.1552,                 1.4879,             0.00032188,             0.00032188,             0.00032188
                     77,                0.42571,                0.36502,                0.86617,                0.72454,                0.77784,                0.74316,                0.42461,                 1.3111,                 1.1552,                 1.4879,              0.0003095,              0.0003095,              0.0003095
                     78,                0.50441,                0.38333,                0.90185,                 0.6956,                0.76368,                0.73784,                0.43902,                 1.2999,                 1.1137,                 1.4799,             0.00029713,             0.00029713,             0.00029713
                     79,                0.58094,                0.42343,                0.89778,                0.80867,                0.66912,                0.72187,                0.43122,                 1.3023,                 1.1228,                 1.4822,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.4929,                0.37742,                0.83313,                0.80684,                0.66919,                0.73024,                0.44271,                 1.3035,                  1.122,                 1.4642,             0.00027237,             0.00027237,             0.00027237
                     81,                0.55805,                0.42718,                  0.903,                0.80684,                0.66919,                0.73024,                0.44271,                 1.3035,                  1.122,                 1.4642,                0.00026,                0.00026,                0.00026
                     82,                0.53972,                0.41735,                 0.8863,                0.59205,                0.73016,                0.67979,                0.40201,                  1.301,                 1.1627,                 1.4519,             0.00024762,             0.00024762,             0.00024762
                     83,                0.44246,                0.38101,                0.87116,                0.62092,                0.72656,                0.68642,                0.42221,                 1.2744,                 1.1762,                 1.4433,             0.00023525,             0.00023525,             0.00023525
                     84,                0.51015,                0.39116,                0.88028,                0.70601,                 0.6857,                0.69255,                  0.445,                 1.2187,                 1.1674,                 1.3993,             0.00022288,             0.00022288,             0.00022288
                     85,                0.44037,                 0.3661,                 0.8884,                0.70601,                 0.6857,                0.69255,                  0.445,                 1.2187,                 1.1674,                 1.3993,              0.0002105,              0.0002105,              0.0002105
                     86,                0.50186,                0.37492,                0.83458,                0.70718,                0.68686,                 0.6998,                0.45009,                 1.2002,                 1.1322,                 1.3856,             0.00019813,             0.00019813,             0.00019813
                     87,                0.45405,                0.39654,                0.93117,                0.68186,                0.60852,                0.68085,                0.43083,                 1.1995,                 1.0999,                 1.3788,             0.00018575,             0.00018575,             0.00018575
                     88,                0.41873,                0.35262,                0.88076,                0.67396,                0.60939,                0.68029,                0.43025,                 1.2114,                 1.0745,                 1.3787,             0.00017338,             0.00017338,             0.00017338
                     89,                 0.4619,                0.38443,                0.89597,                0.67396,                0.60939,                0.68029,                0.43025,                 1.2114,                 1.0745,                 1.3787,               0.000161,               0.000161,               0.000161
                     90,                0.56789,                0.43877,                0.97329,                 0.7241,                0.70779,                0.76227,                0.42987,                 1.2403,                 1.0506,                 1.3987,             0.00014862,             0.00014862,             0.00014862
                     91,                0.40914,                 0.3715,                0.89085,                0.75101,                0.71758,                0.75892,                0.42291,                 1.2617,                 1.0497,                 1.4131,             0.00013625,             0.00013625,             0.00013625
                     92,                0.45568,                0.37182,                0.86073,                0.75815,                0.71616,                0.74887,                0.41424,                 1.2896,                 1.0601,                 1.4373,             0.00012387,             0.00012387,             0.00012387
                     93,                0.46972,                 0.4792,                0.86414,                0.75815,                0.71616,                0.74887,                0.41424,                 1.2896,                 1.0601,                 1.4373,              0.0001115,              0.0001115,              0.0001115
                     94,                0.40703,                0.35072,                0.89077,                0.73211,                0.70946,                0.76522,                0.42403,                 1.3122,                 1.0554,                 1.4549,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.42324,                0.36956,                0.81868,                0.63307,                0.64464,                0.68856,                0.41134,                 1.3215,                 1.0544,                 1.4599,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.45057,                0.39551,                0.87228,                0.66382,                0.60298,                0.69817,                0.42161,                 1.3227,                 1.0442,                 1.4677,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.37688,                0.36259,                0.85165,                0.66382,                0.60298,                0.69817,                0.42161,                 1.3227,                 1.0442,                 1.4677,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.38479,                0.29025,                0.84759,                0.66922,                0.61038,                0.70113,                0.41384,                   1.32,                 1.0407,                 1.4647,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.4656,                0.38647,                0.86364,                 0.6778,                0.61637,                0.69082,                0.40599,                  1.296,                 1.0323,                 1.4472,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.45115,                0.33605,                0.82311,                0.68082,                0.62302,                0.65619,                0.39258,                 1.2668,                 1.0384,                 1.4257,             2.4875e-05,             2.4875e-05,             2.4875e-05
